reduceScatter_allreduce 8 1048576
Run 41 time 0.000590086
Run 42 time 0.000614166
Run 43 time 0.000566006
Run 44 time 0.000619173
Run 45 time 0.000612974
Run 46 time 0.000535965
Run 47 time 0.000613928
Run 48 time 0.000581980
Run 49 time 0.000583172
Run 50 time 0.000623941
Run 51 time 0.000563145
Run 52 time 0.000584126
Run 53 time 0.000574827
Run 54 time 0.000595093
Run 55 time 0.000904083
Run 56 time 0.001197100
Run 57 time 0.001346111
Run 58 time 0.001125097
Run 59 time 0.001322985
Run 60 time 0.001343012
Run 61 time 0.000743151
Run 62 time 0.001076937
Run 63 time 0.001110077
Run 64 time 0.001096010
Run 65 time 0.000878096
Run 66 time 0.001080036
Run 67 time 0.001448154
Run 68 time 0.000987053
Run 69 time 0.000869036
Run 70 time 0.000766993
Run 71 time 0.000648975
Run 72 time 0.001218081
Run 73 time 0.000921011
Run 74 time 0.000731945
Run 75 time 0.000813961
Run 76 time 0.001614809
Run 77 time 0.001070976
Run 78 time 0.000996113
Run 79 time 0.001383066
Run 80 time 0.000781059
Run 81 time 0.000833035
Run 82 time 0.001189947
Run 83 time 0.001552105
Run 84 time 0.001020193
Run 85 time 0.000854969
Run 86 time 0.000995159
Run 87 time 0.001316071
Run 88 time 0.001118898
Run 89 time 0.000861883
Run 90 time 0.000665903
Run 91 time 0.001157045
Run 92 time 0.000858068
Run 93 time 0.000626087
Run 94 time 0.000839949
Run 95 time 0.000914097
Run 96 time 0.001383066
Run 97 time 0.001340866
Run 98 time 0.001265049
Run 99 time 0.001095057
Run 100 time 0.000976086
2TreeSanders_allreduce 8 1048576 4
Run 1 time 0.034778118
Run 2 time 0.001028061
Run 3 time 0.001487970
Run 4 time 0.001404047
Run 5 time 0.000966072
Run 6 time 0.001321077
Run 7 time 0.000945091
Run 8 time 0.000834942
Run 9 time 0.001129866
Run 10 time 0.001462936
Run 11 time 0.000983953
Run 12 time 0.001308918
Run 13 time 0.000956059
Run 14 time 0.001502037
Run 15 time 0.000751019
Run 16 time 0.001195908
Run 17 time 0.001318932
Run 18 time 0.001288891
Run 19 time 0.000939131
Run 20 time 0.001390934
Run 21 time 0.001138926
Run 22 time 0.000910997
Run 23 time 0.000868082
Run 24 time 0.001135111
Run 25 time 0.001098871
Run 26 time 0.000914097
Run 27 time 0.000924110
Run 28 time 0.001615047
Run 29 time 0.001508951
Run 30 time 0.001064062
Run 31 time 0.000805855
Run 32 time 0.001465082
Run 33 time 0.001008987
Run 34 time 0.001113892
Run 35 time 0.001402140
Run 36 time 0.001342058
Run 37 time 0.001059055
Run 38 time 0.001075029
Run 39 time 0.000881195
Run 40 time 0.001390934
Run 41 time 0.001505136
Run 42 time 0.000871897
Run 43 time 0.001061916
Run 44 time 0.001256943
Run 45 time 0.001394033
Run 46 time 0.001129866
Run 47 time 0.001220942
Run 48 time 0.001314878
Run 49 time 0.001277924
Run 50 time 0.000875950
Run 51 time 0.000888109
Run 52 time 0.001088858
Run 53 time 0.001065969
Run 54 time 0.000958204
Run 55 time 0.001569033
Run 56 time 0.000994205
Run 57 time 0.001060009
Run 58 time 0.000986814
Run 59 time 0.000902891
Run 60 time 0.000801086
Run 61 time 0.000853062
Run 62 time 0.000885963
Run 63 time 0.000864983
Run 64 time 0.000951052
Run 65 time 0.000921965
Run 66 time 0.000761986
Run 67 time 0.000882864
Run 68 time 0.000996113
Run 69 time 0.000859976
Run 70 time 0.000905037
Run 71 time 0.000791073
Run 72 time 0.001237869
Run 73 time 0.000817060
Run 74 time 0.000900984
Run 75 time 0.000778913
Run 76 time 0.000885963
Run 77 time 0.001065016
Run 78 time 0.000875950
Run 79 time 0.000835180
Run 80 time 0.001017094
Run 81 time 0.000778913
Run 82 time 0.000746965
Run 83 time 0.000691891
Run 84 time 0.000715971
Run 85 time 0.000697136
Run 86 time 0.000695944
Run 87 time 0.000713110
Run 88 time 0.000707865
Run 89 time 0.000692844
Run 90 time 0.000714064
Run 91 time 0.000697851
Run 92 time 0.000710964
Run 93 time 0.000692844
Run 94 time 0.000720978
Run 95 time 0.000689030
Run 96 time 0.000691891
Run 97 time 0.000690937
Run 98 time 0.000695944
Run 99 time 0.000724077
Run 100 time 0.000820160
2TreeSanders_allreduce2 8 1048576 7
Run 1 time 0.011377096
Run 2 time 0.001168013
Run 3 time 0.000900030
Run 4 time 0.000924110
Run 5 time 0.000784159
Run 6 time 0.000741959
Run 7 time 0.000901937
Run 8 time 0.000804901
Run 9 time 0.000814199
Run 10 time 0.000765085
Run 11 time 0.000780821
Run 12 time 0.000792980
Run 13 time 0.000845909
Run 14 time 0.000817060
Run 15 time 0.000762939
Run 16 time 0.000689030
Run 17 time 0.000838041
Run 18 time 0.000960112
Run 19 time 0.000715017
Run 20 time 0.000666857
Run 21 time 0.000706911
Run 22 time 0.000822067
Run 23 time 0.000771999
Run 24 time 0.000805140
Run 25 time 0.000828981
Run 26 time 0.000812054
Run 27 time 0.000716925
Run 28 time 0.000695229
Run 29 time 0.000645161
Run 30 time 0.000618935
Run 31 time 0.000667095
Run 32 time 0.000628948
Run 33 time 0.000638008
Run 34 time 0.000651121
Run 35 time 0.000662088
Run 36 time 0.000736952
Run 37 time 0.000650883
Run 38 time 0.000708103
Run 39 time 0.000650883
Run 40 time 0.000665903
Run 41 time 0.000756979
Run 42 time 0.000641108
Run 43 time 0.000649214
Run 44 time 0.000648022
Run 45 time 0.000654936
Run 46 time 0.000652075
Run 47 time 0.000690222
Run 48 time 0.000630856
Run 49 time 0.000788927
Run 50 time 0.000656128
Run 51 time 0.000636816
Run 52 time 0.000634193
Run 53 time 0.000646830
Run 54 time 0.000642061
Run 55 time 0.000625849
Run 56 time 0.000663042
Run 57 time 0.000639915
Run 58 time 0.000723124
Run 59 time 0.000759840
Run 60 time 0.000728130
Run 61 time 0.000892878
Run 62 time 0.000848055
Run 63 time 0.000804186
Run 64 time 0.000803947
Run 65 time 0.000923157
Run 66 time 0.000825882
Run 67 time 0.000663996
Run 68 time 0.000691891
Run 69 time 0.000630140
Run 70 time 0.000840902
Run 71 time 0.000877857
Run 72 time 0.000772953
Run 73 time 0.000775099
Run 74 time 0.000771999
Run 75 time 0.000683069
Run 76 time 0.000694990
Run 77 time 0.000905991
Run 78 time 0.001408100
Run 79 time 0.000726223
Run 80 time 0.000728130
Run 81 time 0.000666857
Run 82 time 0.000711203
Run 83 time 0.000894070
Run 84 time 0.000808954
Run 85 time 0.000722170
Run 86 time 0.000886917
Run 87 time 0.000788927
Run 88 time 0.000835896
Run 89 time 0.000667810
Run 90 time 0.000731945
Run 91 time 0.000729084
Run 92 time 0.000672817
Run 93 time 0.000656128
Run 94 time 0.000881910
Run 95 time 0.000741959
Run 96 time 0.000751019
Run 97 time 0.000694990
Run 98 time 0.000887156
Run 99 time 0.000920057
Run 100 time 0.000805855
2TreeComplete_allreduceoptimal 8 1048576 4
Run 1 time 0.058758020
Run 2 time 0.000742912
Run 3 time 0.000739098
Run 4 time 0.000631094
Run 5 time 0.000687122
Run 6 time 0.000694036
Run 7 time 0.000731945
Run 8 time 0.000720978
Run 9 time 0.000716209
Run 10 time 0.000727892
Run 11 time 0.000733137
Run 12 time 0.000748158
Run 13 time 0.000720024
Run 14 time 0.000722170
Run 15 time 0.000720024
Run 16 time 0.000763893
Run 17 time 0.003026962
Run 18 time 0.000698090
Run 19 time 0.000735044
Run 20 time 0.000694036
Run 21 time 0.000710011
Run 22 time 0.000680923
Run 23 time 0.000740051
Run 24 time 0.000690937
Run 25 time 0.000734091
Run 26 time 0.000653982
Run 27 time 0.000689983
Run 28 time 0.000737906
Run 29 time 0.000709057
Run 30 time 0.000692129
Run 31 time 0.001311779
Run 32 time 0.000713825
Run 33 time 0.000719070
Run 34 time 0.000723124
Run 35 time 0.000749826
Run 36 time 0.000727892
Run 37 time 0.000724077
Run 38 time 0.000742912
Run 39 time 0.000689030
Run 40 time 0.000667095
Run 41 time 0.000698805
Run 42 time 0.000756025
Run 43 time 0.000710011
Run 44 time 0.000720978
Run 45 time 0.000724077
Run 46 time 0.000715017
Run 47 time 0.000751019
Run 48 time 0.000735044
Run 49 time 0.000796080
Run 50 time 0.000715971
Run 51 time 0.001358986
Run 52 time 0.000728130
Run 53 time 0.000723124
Run 54 time 0.000739098
Run 55 time 0.000792027
Run 56 time 0.000720024
Run 57 time 0.000743866
Run 58 time 0.000698805
Run 59 time 0.000669003
Run 60 time 0.000820875
Run 61 time 0.000689030
Run 62 time 0.000650883
Run 63 time 0.000737190
Run 64 time 0.000672817
Run 65 time 0.000688076
Run 66 time 0.000712156
Run 67 time 0.000725985
Run 68 time 0.000815153
Run 69 time 0.000709057
Run 70 time 0.000689983
Run 71 time 0.000723124
Run 72 time 0.000698090
Run 73 time 0.000688076
Run 74 time 0.000737906
Run 75 time 0.000705957
Run 76 time 0.000694990
Run 77 time 0.000632048
Run 78 time 0.000682831
Run 79 time 0.000715017
Run 80 time 0.000647068
Run 81 time 0.000679970
Run 82 time 0.000657082
Run 83 time 0.000724792
Run 84 time 0.000722170
Run 85 time 0.000677109
Run 86 time 0.000732183
Run 87 time 0.000705004
Run 88 time 0.000733852
Run 89 time 0.000658989
Run 90 time 0.000722885
Run 91 time 0.000684023
Run 92 time 0.000735998
Run 93 time 0.000751019
Run 94 time 0.000712872
Run 95 time 0.000969887
Run 96 time 0.000698090
Run 97 time 0.000725031
Run 98 time 0.000912905
Run 99 time 0.000704050
Run 100 time 0.000679016
2TreeComplete_allreduceoptimal2 8 1048576 7
Run 1 time 0.029006958
Run 2 time 0.000650167
Run 3 time 0.000697851
Run 4 time 0.000618935
Run 5 time 0.000648975
Run 6 time 0.000610113
Run 7 time 0.000640154
Run 8 time 0.000660181
Run 9 time 0.000657082
Run 10 time 0.000639915
Run 11 time 0.001316071
Run 12 time 0.000663996
Run 13 time 0.000663996
Run 14 time 0.000661850
Run 15 time 0.000607014
Run 16 time 0.001459122
Run 17 time 0.001415014
Run 18 time 0.000615120
Run 19 time 0.000715971
Run 20 time 0.001570940
Run 21 time 0.000644207
Run 22 time 0.000632048
Run 23 time 0.000694036
Run 24 time 0.000668049
Run 25 time 0.000648022
Run 26 time 0.000633955
Run 27 time 0.000633955
Run 28 time 0.000660896
Run 29 time 0.000609875
Run 30 time 0.000636101
Run 31 time 0.000630140
Run 32 time 0.000668049
Run 33 time 0.000660181
Run 34 time 0.000621796
Run 35 time 0.000608921
Run 36 time 0.000627995
Run 37 time 0.000645876
Run 38 time 0.000674963
Run 39 time 0.000632048
Run 40 time 0.000673056
Run 41 time 0.000705957
Run 42 time 0.000661850
Run 43 time 0.000705957
Run 44 time 0.000627995
Run 45 time 0.000622034
Run 46 time 0.000631809
Run 47 time 0.000622988
Run 48 time 0.000710964
Run 49 time 0.000995159
Run 50 time 0.000702143
Run 51 time 0.000761032
Run 52 time 0.000639200
Run 53 time 0.000645876
Run 54 time 0.000680923
Run 55 time 0.000663042
Run 56 time 0.000692129
Run 57 time 0.000696898
Run 58 time 0.000607014
Run 59 time 0.000643969
Run 60 time 0.000640154
Run 61 time 0.000635147
Run 62 time 0.000633001
Run 63 time 0.000700951
Run 64 time 0.000601053
Run 65 time 0.000632048
Run 66 time 0.000620127
Run 67 time 0.000643015
Run 68 time 0.000667095
Run 69 time 0.000694990
Run 70 time 0.000675201
Run 71 time 0.000643015
Run 72 time 0.000677109
Run 73 time 0.000657082
Run 74 time 0.000624895
Run 75 time 0.001059055
Run 76 time 0.001074076
Run 77 time 0.000903130
Run 78 time 0.000665188
Run 79 time 0.000665188
Run 80 time 0.000665188
Run 81 time 0.000632048
Run 82 time 0.000638008
Run 83 time 0.000656128
Run 84 time 0.000670195
Run 85 time 0.000655174
Run 86 time 0.000629902
Run 87 time 0.000620842
Run 88 time 0.000647068
Run 89 time 0.000643015
Run 90 time 0.000576973
Run 91 time 0.000684977
Run 92 time 0.000653982
Run 93 time 0.000631094
Run 94 time 0.000640154
Run 95 time 0.000653982
Run 96 time 0.000632048
Run 97 time 0.000626087
Run 98 time 0.000624895
Run 99 time 0.000651121
Run 100 time 0.000643015
reduceScatter_allreduce 12 1048576
Run 1 time 0.008885860
Run 2 time 0.001111031
Run 3 time 0.001048088
Run 4 time 0.001060009
Run 5 time 0.001108885
Run 6 time 0.000970125
Run 7 time 0.000816107
Run 8 time 0.000820160
Run 9 time 0.000826120
Run 10 time 0.000833035
Run 11 time 0.000808001
Run 12 time 0.000818014
Run 13 time 0.000804186
Run 14 time 0.000804901
Run 15 time 0.000812054
Run 16 time 0.000858068
Run 17 time 0.000915051
Run 18 time 0.000962019
Run 19 time 0.000936985
Run 20 time 0.001896858
Run 21 time 0.001008987
Run 22 time 0.001480103
Run 23 time 0.001079082
Run 24 time 0.001909971
Run 25 time 0.000983953
Run 26 time 0.000946045
Run 27 time 0.001005173
Run 28 time 0.001021862
Run 29 time 0.001057148
Run 30 time 0.000904083
Run 31 time 0.000978947
Run 32 time 0.000907183
Run 33 time 0.001117945
Run 34 time 0.000991106
Run 35 time 0.001038074
Run 36 time 0.000986099
Run 37 time 0.000998020
Run 38 time 0.000953197
Run 39 time 0.001122952
Run 40 time 0.001087189
Run 41 time 0.001198769
Run 42 time 0.001032114
Run 43 time 0.001220942
Run 44 time 0.001419067
Run 45 time 0.001230955
Run 46 time 0.001015186
Run 47 time 0.000938892
Run 48 time 0.001049042
Run 49 time 0.000998020
Run 50 time 0.000956059
Run 51 time 0.000937223
Run 52 time 0.001057148
Run 53 time 0.000980139
Run 54 time 0.000991106
Run 55 time 0.001034975
Run 56 time 0.000941992
Run 57 time 0.001032114
Run 58 time 0.001203060
Run 59 time 0.000952005
Run 60 time 0.000998020
Run 61 time 0.001415968
Run 62 time 0.001204014
Run 63 time 0.001140833
Run 64 time 0.000863075
Run 65 time 0.000796080
Run 66 time 0.000806093
Run 67 time 0.000801802
Run 68 time 0.000914097
Run 69 time 0.001034021
Run 70 time 0.001035929
Run 71 time 0.001313210
Run 72 time 0.001110077
Run 73 time 0.001205921
Run 74 time 0.001016140
Run 75 time 0.000904083
Run 76 time 0.001168966
Run 77 time 0.001124144
Run 78 time 0.000967979
Run 79 time 0.000957012
Run 80 time 0.000988960
Run 81 time 0.001725912
Run 82 time 0.000885010
Run 83 time 0.000893116
Run 84 time 0.001207829
Run 85 time 0.000993013
Run 86 time 0.000903845
Run 87 time 0.000947952
Run 88 time 0.001096010
Run 89 time 0.001122952
Run 90 time 0.001132011
Run 91 time 0.000942945
Run 92 time 0.001014948
Run 93 time 0.000968933
Run 94 time 0.000988007
Run 95 time 0.001003981
Run 96 time 0.000937939
Run 97 time 0.001020908
Run 98 time 0.000903130
Run 99 time 0.000806808
Run 100 time 0.001037836
2TreeComplete+Sanders_allreduce 12 1048576 4
Run 1 time 0.010627031
Run 2 time 0.001072884
Run 3 time 0.000894070
Run 4 time 0.000972986
Run 5 time 0.001291037
Run 6 time 0.000894070
Run 7 time 0.001206875
Run 8 time 0.001849890
Run 9 time 0.000977993
Run 10 time 0.000974178
Run 11 time 0.000852823
Run 12 time 0.001237154
Run 13 time 0.001258850
Run 14 time 0.000902176
Run 15 time 0.001567841
Run 16 time 0.000979185
Run 17 time 0.001069069
Run 18 time 0.000980139
Run 19 time 0.001034975
Run 20 time 0.000945091
Run 21 time 0.000841141
Run 22 time 0.001071930
Run 23 time 0.001071930
Run 24 time 0.000856876
Run 25 time 0.001085043
Run 26 time 0.000930071
Run 27 time 0.001078129
Run 28 time 0.001091003
Run 29 time 0.000995159
Run 30 time 0.000992060
Run 31 time 0.000854969
Run 32 time 0.000931025
Run 33 time 0.001271009
Run 34 time 0.000907183
Run 35 time 0.000890970
Run 36 time 0.000947952
Run 37 time 0.001075983
Run 38 time 0.001006126
Run 39 time 0.000912189
Run 40 time 0.001154900
Run 41 time 0.001240015
Run 42 time 0.001028061
Run 43 time 0.000879049
Run 44 time 0.001019955
Run 45 time 0.001035929
Run 46 time 0.000931978
Run 47 time 0.000952005
Run 48 time 0.001014948
Run 49 time 0.000882864
Run 50 time 0.001012087
Run 51 time 0.000853062
Run 52 time 0.000833035
Run 53 time 0.001588821
Run 54 time 0.001507044
Run 55 time 0.000880957
Run 56 time 0.000797033
Run 57 time 0.000744104
Run 58 time 0.001136065
Run 59 time 0.000776052
Run 60 time 0.000816107
Run 61 time 0.000975132
Run 62 time 0.001037121
Run 63 time 0.000916004
Run 64 time 0.001483202
Run 65 time 0.001155853
Run 66 time 0.000974178
Run 67 time 0.001083136
Run 68 time 0.000769138
Run 69 time 0.000802994
Run 70 time 0.000777960
Run 71 time 0.000771046
Run 72 time 0.000936985
Run 73 time 0.001123905
Run 74 time 0.001138926
Run 75 time 0.000865936
Run 76 time 0.000899076
Run 77 time 0.000911951
Run 78 time 0.000914812
Run 79 time 0.001209021
Run 80 time 0.001071215
Run 81 time 0.001079082
Run 82 time 0.001031876
Run 83 time 0.000913858
Run 84 time 0.000925064
Run 85 time 0.000819921
Run 86 time 0.000905037
Run 87 time 0.001012087
Run 88 time 0.000875950
Run 89 time 0.001017094
Run 90 time 0.001249075
Run 91 time 0.000888109
Run 92 time 0.001092196
Run 93 time 0.001141071
Run 94 time 0.000946045
Run 95 time 0.001029968
Run 96 time 0.001616955
Run 97 time 0.001139879
Run 98 time 0.001755953
Run 99 time 0.001266956
Run 100 time 0.001507044
2TreeComplete+Sanders_allreduce2 12 1048576 7
Run 1 time 0.011678934
Run 2 time 0.001247168
Run 3 time 0.000990868
Run 4 time 0.001085043
Run 5 time 0.001002073
Run 6 time 0.001402855
Run 7 time 0.001321077
Run 8 time 0.000956059
Run 9 time 0.001152039
Run 10 time 0.000871181
Run 11 time 0.001053095
Run 12 time 0.001559019
Run 13 time 0.000936031
Run 14 time 0.001174212
Run 15 time 0.001101971
Run 16 time 0.000910997
Run 17 time 0.000889778
Run 18 time 0.000963211
Run 19 time 0.000926018
Run 20 time 0.000880003
Run 21 time 0.001009941
Run 22 time 0.000884056
Run 23 time 0.000978947
Run 24 time 0.000816107
Run 25 time 0.000831127
Run 26 time 0.000833035
Run 27 time 0.001019001
Run 28 time 0.000799894
Run 29 time 0.000994921
Run 30 time 0.000894070
Run 31 time 0.000805855
Run 32 time 0.000863075
Run 33 time 0.000782013
Run 34 time 0.000899076
Run 35 time 0.000823021
Run 36 time 0.000824928
Run 37 time 0.000886917
Run 38 time 0.000737190
Run 39 time 0.000761032
Run 40 time 0.000831127
Run 41 time 0.000824928
Run 42 time 0.000784159
Run 43 time 0.001262188
Run 44 time 0.000833035
Run 45 time 0.000915051
Run 46 time 0.000869036
Run 47 time 0.000968933
Run 48 time 0.000824928
Run 49 time 0.000890017
Run 50 time 0.000823021
Run 51 time 0.000908136
Run 52 time 0.000786066
Run 53 time 0.000861168
Run 54 time 0.001107931
Run 55 time 0.000921011
Run 56 time 0.000791073
Run 57 time 0.000945091
Run 58 time 0.000880003
Run 59 time 0.000854969
Run 60 time 0.000714064
Run 61 time 0.000699043
Run 62 time 0.000663996
Run 63 time 0.000752926
Run 64 time 0.000682831
Run 65 time 0.000710964
Run 66 time 0.000685930
Run 67 time 0.000683069
Run 68 time 0.000679016
Run 69 time 0.000686169
Run 70 time 0.000692129
Run 71 time 0.000688076
Run 72 time 0.000847101
Run 73 time 0.001039982
Run 74 time 0.000726938
Run 75 time 0.000762939
Run 76 time 0.000998974
Run 77 time 0.001375198
Run 78 time 0.000925779
Run 79 time 0.000949144
Run 80 time 0.000832081
Run 81 time 0.000860214
Run 82 time 0.000741005
Run 83 time 0.000796080
Run 84 time 0.000977039
Run 85 time 0.000890970
Run 86 time 0.000895977
Run 87 time 0.001019001
Run 88 time 0.000919104
Run 89 time 0.001152039
Run 90 time 0.001228094
Run 91 time 0.000798941
Run 92 time 0.001119137
Run 93 time 0.000905037
Run 94 time 0.000921011
Run 95 time 0.000988007
Run 96 time 0.000815868
Run 97 time 0.000808001
Run 98 time 0.000891924
Run 99 time 0.000854969
Run 100 time 0.000825167
2TreeSanders_allreduce 12 1048576 4
Run 1 time 0.101107836
Run 2 time 0.001444101
Run 3 time 0.001486063
Run 4 time 0.000965118
Run 5 time 0.001111984
Run 6 time 0.000903845
Run 7 time 0.001252890
Run 8 time 0.001605034
Run 9 time 0.001034021
Run 10 time 0.001245022
Run 11 time 0.000980139
Run 12 time 0.001104116
Run 13 time 0.001894951
Run 14 time 0.002018929
Run 15 time 0.000928879
Run 16 time 0.001054049
Run 17 time 0.001033068
Run 18 time 0.000957012
Run 19 time 0.001039982
Run 20 time 0.000992060
Run 21 time 0.000946045
Run 22 time 0.001060009
Run 23 time 0.000974894
Run 24 time 0.000899076
Run 25 time 0.001086950
Run 26 time 0.000960112
Run 27 time 0.001005173
Run 28 time 0.000977039
Run 29 time 0.001063108
Run 30 time 0.001092911
Run 31 time 0.001085043
Run 32 time 0.001111984
Run 33 time 0.001111031
Run 34 time 0.000941038
Run 35 time 0.001172066
Run 36 time 0.001019955
Run 37 time 0.000997066
Run 38 time 0.000949144
Run 39 time 0.001004934
Run 40 time 0.001224041
Run 41 time 0.001235008
Run 42 time 0.001117945
Run 43 time 0.000864983
Run 44 time 0.000838041
Run 45 time 0.001295090
Run 46 time 0.001016140
Run 47 time 0.000939131
Run 48 time 0.000915051
Run 49 time 0.001024008
Run 50 time 0.001451969
Run 51 time 0.001075983
Run 52 time 0.001558065
Run 53 time 0.000982046
Run 54 time 0.001226902
Run 55 time 0.000947952
