MPI_reduce 8 5242880
Run 43 time 0.004889011
Run 44 time 0.004924059
Run 45 time 0.004904985
Run 46 time 0.004823923
Run 47 time 0.004889011
Run 48 time 0.004886150
Run 49 time 0.004935026
Run 50 time 0.004889011
Run 51 time 0.004836082
Run 52 time 0.004884958
Run 53 time 0.006767988
Run 54 time 0.004886866
Run 55 time 0.004826784
Run 56 time 0.004880905
Run 57 time 0.004889011
Run 58 time 0.004894972
Run 59 time 0.004832029
Run 60 time 0.004819870
Run 61 time 0.004876852
Run 62 time 0.005383015
Run 63 time 0.004890919
Run 64 time 0.004891872
Run 65 time 0.005001068
Run 66 time 0.004873037
Run 67 time 0.004884005
Run 68 time 0.004879951
Run 69 time 0.004906178
Run 70 time 0.004940033
Run 71 time 0.004886866
Run 72 time 0.004822969
Run 73 time 0.004974127
Run 74 time 0.004818201
Run 75 time 0.004961967
Run 76 time 0.004817963
Run 77 time 0.004892111
Run 78 time 0.004816055
Run 79 time 0.004902124
Run 80 time 0.005098104
Run 81 time 0.005171061
Run 82 time 0.004800797
Run 83 time 0.004982948
Run 84 time 0.005069017
Run 85 time 0.004873037
Run 86 time 0.005233049
Run 87 time 0.004956961
Run 88 time 0.004909992
Run 89 time 0.004812002
Run 90 time 0.004879951
Run 91 time 0.004806995
Run 92 time 0.004874945
Run 93 time 0.004899979
Run 94 time 0.005173922
Run 95 time 0.004847050
Run 96 time 0.004878044
Run 97 time 0.004822969
Run 98 time 0.004885912
Run 99 time 0.004921198
Run 100 time 0.004883051
2TreeComplete_reduce 8 5242880 19
Run 1 time 0.013413906
Run 2 time 0.001813173
Run 3 time 0.001667023
Run 4 time 0.001695871
Run 5 time 0.001679897
Run 6 time 0.001724005
Run 7 time 0.001677990
Run 8 time 0.001657963
Run 9 time 0.001772165
Run 10 time 0.001585007
Run 11 time 0.001705885
Run 12 time 0.001661062
Run 13 time 0.001709938
Run 14 time 0.001688004
Run 15 time 0.001717091
Run 16 time 0.001710892
Run 17 time 0.001602173
Run 18 time 0.001724958
Run 19 time 0.001673937
Run 20 time 0.001693964
Run 21 time 0.001742840
Run 22 time 0.001718998
Run 23 time 0.001652956
Run 24 time 0.001706123
Run 25 time 0.001656055
Run 26 time 0.001665831
Run 27 time 0.001710892
Run 28 time 0.001733065
Run 29 time 0.001704931
Run 30 time 0.001708984
Run 31 time 0.001661062
Run 32 time 0.001706839
Run 33 time 0.001766920
Run 34 time 0.001741171
Run 35 time 0.001698017
Run 36 time 0.001649857
Run 37 time 0.001677990
Run 38 time 0.001713037
Run 39 time 0.001649857
Run 40 time 0.001723051
Run 41 time 0.001769066
Run 42 time 0.001705885
Run 43 time 0.001645088
Run 44 time 0.001708984
Run 45 time 0.001651049
Run 46 time 0.001713037
Run 47 time 0.001657009
Run 48 time 0.001760960
Run 49 time 0.001636028
Run 50 time 0.001711845
Run 51 time 0.001729012
Run 52 time 0.001715899
Run 53 time 0.001641035
Run 54 time 0.001724005
Run 55 time 0.006636143
Run 56 time 0.001700878
Run 57 time 0.001708031
Run 58 time 0.001652002
Run 59 time 0.001651764
Run 60 time 0.001701832
Run 61 time 0.001670837
Run 62 time 0.001725197
Run 63 time 0.001729965
Run 64 time 0.001672029
Run 65 time 0.001665115
Run 66 time 0.001643896
Run 67 time 0.001688957
Run 68 time 0.001655817
Run 69 time 0.001676083
Run 70 time 0.001655102
Run 71 time 0.001692057
Run 72 time 0.001745939
Run 73 time 0.001713991
Run 74 time 0.001673937
Run 75 time 0.001648903
Run 76 time 0.001700163
Run 77 time 0.001677036
Run 78 time 0.001677036
Run 79 time 0.001713037
Run 80 time 0.001715183
Run 81 time 0.001647949
Run 82 time 0.001669168
Run 83 time 0.001673937
Run 84 time 0.001688004
Run 85 time 0.001685143
Run 86 time 0.001685858
Run 87 time 0.001668930
Run 88 time 0.001660109
Run 89 time 0.001654148
Run 90 time 0.001680136
Run 91 time 0.001686096
Run 92 time 0.001702070
Run 93 time 0.001682043
Run 94 time 0.001649141
Run 95 time 0.001726151
Run 96 time 0.001736879
Run 97 time 0.003774881
Run 98 time 0.001646042
Run 99 time 0.001657963
Run 100 time 0.001708031
2TreeComplete_reduce2 8 5242880 33
Run 1 time 0.014320135
Run 2 time 0.001683950
Run 3 time 0.001679897
Run 4 time 0.001852036
Run 5 time 0.001695871
Run 6 time 0.001690865
Run 7 time 0.001678944
Run 8 time 0.001690149
Run 9 time 0.001694918
Run 10 time 0.001924038
Run 11 time 0.001885176
Run 12 time 0.001683950
Run 13 time 0.001662016
Run 14 time 0.001688004
Run 15 time 0.001672983
Run 16 time 0.001673937
Run 17 time 0.001681089
Run 18 time 0.001682043
Run 19 time 0.001679897
Run 20 time 0.001652002
Run 21 time 0.001699924
Run 22 time 0.001674891
Run 23 time 0.001709938
Run 24 time 0.001651049
Run 25 time 0.001779079
Run 26 time 0.001669168
Run 27 time 0.001688957
Run 28 time 0.001682997
Run 29 time 0.001650095
Run 30 time 0.001649857
Run 31 time 0.001651049
Run 32 time 0.001672029
Run 33 time 0.001683950
Run 34 time 0.001660824
Run 35 time 0.001657963
Run 36 time 0.001719952
Run 37 time 0.001672029
Run 38 time 0.001670837
Run 39 time 0.001676083
Run 40 time 0.001689911
Run 41 time 0.001658916
Run 42 time 0.001657009
Run 43 time 0.001672029
Run 44 time 0.001773119
Run 45 time 0.001686096
Run 46 time 0.001659155
Run 47 time 0.001668930
Run 48 time 0.001796007
Run 49 time 0.001664877
Run 50 time 0.001642942
Run 51 time 0.001749992
Run 52 time 0.001672983
Run 53 time 0.001675129
Run 54 time 0.001763105
Run 55 time 0.001696825
Run 56 time 0.001650810
Run 57 time 0.001636982
Run 58 time 0.001669168
Run 59 time 0.001672983
Run 60 time 0.001653910
Run 61 time 0.001662970
Run 62 time 0.001668930
Run 63 time 0.001664877
Run 64 time 0.001649141
Run 65 time 0.001662970
Run 66 time 0.001653910
Run 67 time 0.001690865
Run 68 time 0.001653910
Run 69 time 0.001657009
Run 70 time 0.001667023
Run 71 time 0.001681089
Run 72 time 0.001698971
Run 73 time 0.001422167
Run 74 time 0.001665831
Run 75 time 0.001646996
Run 76 time 0.001661777
Run 77 time 0.001669168
Run 78 time 0.001659870
Run 79 time 0.001667976
Run 80 time 0.001657009
Run 81 time 0.001673937
Run 82 time 0.001646996
Run 83 time 0.001657963
Run 84 time 0.001640081
Run 85 time 0.001659870
Run 86 time 0.001647949
Run 87 time 0.001761913
Run 88 time 0.001584053
Run 89 time 0.001684904
Run 90 time 0.001702785
Run 91 time 0.001663923
Run 92 time 0.001670837
Run 93 time 0.001692057
Run 94 time 0.001680851
Run 95 time 0.001825094
Run 96 time 0.001729965
Run 97 time 0.001673937
Run 98 time 0.001724005
Run 99 time 0.001708031
Run 100 time 0.001672029
2TreeSanders_reduce 8 5242880 19
Run 1 time 0.079819918
Run 2 time 0.006770849
Run 3 time 0.006544113
Run 4 time 0.006542921
Run 5 time 0.006464005
Run 6 time 0.017982006
Run 7 time 0.009319067
Run 8 time 0.009401083
Run 9 time 0.006772995
Run 10 time 0.008421898
Run 11 time 0.016133070
Run 12 time 0.007526159
Run 13 time 0.007429123
Run 14 time 0.006431103
Run 15 time 0.006618977
Run 16 time 0.006381989
Run 17 time 0.008193016
Run 18 time 0.006102085
Run 19 time 0.006251812
Run 20 time 0.006494999
Run 21 time 0.006429911
Run 22 time 0.007714033
Run 23 time 0.006474018
Run 24 time 0.006456852
Run 25 time 0.006311178
Run 26 time 0.008296967
Run 27 time 0.006510973
Run 28 time 0.006384134
Run 29 time 0.006448984
Run 30 time 0.006343842
Run 31 time 0.007850170
Run 32 time 0.006093025
Run 33 time 0.006520033
Run 34 time 0.006191969
Run 35 time 0.006279945
Run 36 time 0.006180048
Run 37 time 0.011557102
Run 38 time 0.006837130
Run 39 time 0.007143974
Run 40 time 0.006576777
Run 41 time 0.006499052
Run 42 time 0.006397009
Run 43 time 0.008558035
Run 44 time 0.009922028
Run 45 time 0.006298065
Run 46 time 0.010457039
Run 47 time 0.011894941
Run 48 time 0.007568121
Run 49 time 0.006273985
Run 50 time 0.006307125
Run 51 time 0.006494999
Run 52 time 0.006433010
Run 53 time 0.006158113
Run 54 time 0.007148027
Run 55 time 0.006956100
Run 56 time 0.009656906
Run 57 time 0.007616043
Run 58 time 0.006624937
Run 59 time 0.006903172
Run 60 time 0.006871939
Run 61 time 0.006510019
Run 62 time 0.006088972
Run 63 time 0.006621122
Run 64 time 0.006188154
Run 65 time 0.015661955
Run 66 time 0.009094000
