MPI_reduce 8 1048576
Run 1 time 0.008741140
Run 2 time 0.000586033
Run 3 time 0.000563860
Run 4 time 0.000560999
Run 5 time 0.000560999
Run 6 time 0.000566006
Run 7 time 0.000571966
Run 8 time 0.000602007
Run 9 time 0.000563145
Run 10 time 0.000564098
Run 11 time 0.000562191
Run 12 time 0.000566006
Run 13 time 0.000568867
Run 14 time 0.000581026
Run 15 time 0.000600100
Run 16 time 0.000563145
Run 17 time 0.000564098
Run 18 time 0.000555038
Run 19 time 0.000566006
Run 20 time 0.000563145
Run 21 time 0.000579119
Run 22 time 0.000605106
Run 23 time 0.000559092
Run 24 time 0.000560999
Run 25 time 0.000566006
Run 26 time 0.000560999
Run 27 time 0.000570059
Run 28 time 0.000579119
Run 29 time 0.000586033
Run 30 time 0.000563145
Run 31 time 0.000560045
Run 32 time 0.000561953
Run 33 time 0.000562191
Run 34 time 0.000596046
Run 35 time 0.000611067
Run 36 time 0.000567913
Run 37 time 0.000556946
Run 38 time 0.000558853
Run 39 time 0.000561953
Run 40 time 0.000557899
Run 41 time 0.000576019
Run 42 time 0.000568151
Run 43 time 0.000576973
Run 44 time 0.000559092
Run 45 time 0.000560045
Run 46 time 0.000560999
Run 47 time 0.000557184
Run 48 time 0.000556946
Run 49 time 0.000558853
Run 50 time 0.000580072
Run 51 time 0.000558138
Run 52 time 0.000570059
Run 53 time 0.000559807
Run 54 time 0.000556946
Run 55 time 0.000558853
Run 56 time 0.000567913
Run 57 time 0.000572920
Run 58 time 0.000559807
Run 59 time 0.000556946
Run 60 time 0.000563860
Run 61 time 0.000559092
Run 62 time 0.000561953
Run 63 time 0.000569105
Run 64 time 0.000569105
Run 65 time 0.000560999
Run 66 time 0.000557899
Run 67 time 0.000558853
Run 68 time 0.000559092
Run 69 time 0.000559092
Run 70 time 0.000555992
Run 71 time 0.000571966
Run 72 time 0.000555038
Run 73 time 0.000557899
Run 74 time 0.000556946
Run 75 time 0.000559807
Run 76 time 0.000555992
Run 77 time 0.000557899
Run 78 time 0.000584841
Run 79 time 0.000563860
Run 80 time 0.000557899
Run 81 time 0.000560999
Run 82 time 0.000557184
Run 83 time 0.000553131
Run 84 time 0.000617027
Run 85 time 0.000565052
Run 86 time 0.000591993
Run 87 time 0.000571012
Run 88 time 0.000558138
Run 89 time 0.000558138
Run 90 time 0.000561953
Run 91 time 0.000600100
Run 92 time 0.000576973
Run 93 time 0.000560045
Run 94 time 0.000555992
Run 95 time 0.000559092
Run 96 time 0.000561953
Run 97 time 0.000559092
Run 98 time 0.000579119
Run 99 time 0.000574112
Run 100 time 0.000563145
binomial_reduce 8 1048576
Run 1 time 0.008217096
Run 2 time 0.000672102
Run 3 time 0.000715971
Run 4 time 0.000719070
Run 5 time 0.000723124
Run 6 time 0.000654221
Run 7 time 0.000699043
Run 8 time 0.000673056
Run 9 time 0.000656128
Run 10 time 0.000657797
Run 11 time 0.000651121
Run 12 time 0.000646830
Run 13 time 0.000662088
Run 14 time 0.000649214
Run 15 time 0.000655174
Run 16 time 0.000650883
Run 17 time 0.000645876
Run 18 time 0.000647068
Run 19 time 0.000645876
Run 20 time 0.000653982
Run 21 time 0.000677109
Run 22 time 0.000655174
Run 23 time 0.000655174
Run 24 time 0.000650167
Run 25 time 0.000656128
Run 26 time 0.000638962
Run 27 time 0.000639200
Run 28 time 0.000638962
Run 29 time 0.000638008
Run 30 time 0.000638962
Run 31 time 0.000689983
Run 32 time 0.000680923
Run 33 time 0.000648975
Run 34 time 0.000647068
Run 35 time 0.000638008
Run 36 time 0.000645876
Run 37 time 0.000705004
Run 38 time 0.000641823
Run 39 time 0.000651121
Run 40 time 0.000632048
Run 41 time 0.000632048
Run 42 time 0.000631094
Run 43 time 0.000632048
Run 44 time 0.000629902
Run 45 time 0.000632048
Run 46 time 0.000643015
Run 47 time 0.000637054
Run 48 time 0.000630856
Run 49 time 0.000632048
Run 50 time 0.000631809
Run 51 time 0.000633001
Run 52 time 0.000633955
Run 53 time 0.000644922
Run 54 time 0.000638962
Run 55 time 0.000637054
Run 56 time 0.000636101
Run 57 time 0.000634909
Run 58 time 0.000666857
Run 59 time 0.000648022
Run 60 time 0.000624895
Run 61 time 0.000631094
Run 62 time 0.000627041
Run 63 time 0.000638008
Run 64 time 0.000643015
Run 65 time 0.000648022
Run 66 time 0.000631809
Run 67 time 0.000629902
Run 68 time 0.000631094
Run 69 time 0.000643015
Run 70 time 0.000644922
Run 71 time 0.000633001
Run 72 time 0.000714064
Run 73 time 0.000622988
Run 74 time 0.000619888
Run 75 time 0.000626087
Run 76 time 0.000652790
Run 77 time 0.000679016
Run 78 time 0.000622988
Run 79 time 0.000622988
Run 80 time 0.000653028
Run 81 time 0.000630140
Run 82 time 0.000696898
Run 83 time 0.000640869
Run 84 time 0.000619888
