MPI_reduce 8 1048576
Run 1 time 0.023947001
Run 2 time 0.000592947
Run 3 time 0.000588179
Run 4 time 0.000600100
Run 5 time 0.000602961
Run 6 time 0.000602007
Run 7 time 0.000602007
Run 8 time 0.000607014
Run 9 time 0.000625134
Run 10 time 0.000602007
Run 11 time 0.000595808
Run 12 time 0.000591993
Run 13 time 0.000593901
Run 14 time 0.000593901
Run 15 time 0.000593185
Run 16 time 0.000600100
Run 17 time 0.000599146
Run 18 time 0.000603199
Run 19 time 0.000597000
Run 20 time 0.000612020
Run 21 time 0.000602007
Run 22 time 0.000589848
Run 23 time 0.000581980
Run 24 time 0.000593901
Run 25 time 0.000615835
Run 26 time 0.000598907
Run 27 time 0.000588894
Run 28 time 0.000598907
Run 29 time 0.000626802
Run 30 time 0.000597954
Run 31 time 0.000601053
Run 32 time 0.000594854
Run 33 time 0.000593901
Run 34 time 0.000586033
Run 35 time 0.000591040
Run 36 time 0.000584841
Run 37 time 0.000595093
Run 38 time 0.000585079
Run 39 time 0.000588179
Run 40 time 0.000580072
Run 41 time 0.000593185
Run 42 time 0.000610113
Run 43 time 0.000591040
Run 44 time 0.000587940
Run 45 time 0.000587940
Run 46 time 0.000586033
Run 47 time 0.000594854
Run 48 time 0.000603914
Run 49 time 0.000585079
Run 50 time 0.000597000
Run 51 time 0.000574827
Run 52 time 0.000601053
Run 53 time 0.000591040
Run 54 time 0.000582933
Run 55 time 0.000580072
Run 56 time 0.000589848
Run 57 time 0.000589848
Run 58 time 0.000586033
Run 59 time 0.000602007
Run 60 time 0.000586987
Run 61 time 0.000582933
Run 62 time 0.000588179
Run 63 time 0.000581026
Run 64 time 0.000586033
Run 65 time 0.000581980
Run 66 time 0.000583887
Run 67 time 0.000586033
Run 68 time 0.000588179
Run 69 time 0.000604153
Run 70 time 0.000601053
Run 71 time 0.000588894
Run 72 time 0.000580788
Run 73 time 0.000581980
Run 74 time 0.000586033
Run 75 time 0.000590086
Run 76 time 0.000580072
Run 77 time 0.000586987
Run 78 time 0.000582933
Run 79 time 0.000610828
Run 80 time 0.000608921
Run 81 time 0.000582933
Run 82 time 0.000596046
Run 83 time 0.000591040
Run 84 time 0.000575066
Run 85 time 0.000584841
Run 86 time 0.000609875
Run 87 time 0.000608921
Run 88 time 0.000583887
Run 89 time 0.000594854
Run 90 time 0.000606060
Run 91 time 0.000587940
Run 92 time 0.000576973
Run 93 time 0.000580072
Run 94 time 0.000602961
Run 95 time 0.000575066
Run 96 time 0.000574827
Run 97 time 0.000596046
Run 98 time 0.000591993
Run 99 time 0.000594854
Run 100 time 0.000590801
binomial_reduce 8 1048576
Run 1 time 0.006630898
