MPI_reduce 8 3145728
Run 1 time 0.066562891
Run 2 time 0.001559973
Run 3 time 0.001698971
Run 4 time 0.001561165
Run 5 time 0.001659155
Run 6 time 0.001570940
Run 7 time 0.001705885
Run 8 time 0.001558065
Run 9 time 0.001646996
Run 10 time 0.001561880
Run 11 time 0.001796961
Run 12 time 0.001638174
Run 13 time 0.001554012
Run 14 time 0.001554012
Run 15 time 0.001562119
Run 16 time 0.001610041
Run 17 time 0.001744032
Run 18 time 0.001621008
Run 19 time 0.001626015
Run 20 time 0.001554012
Run 21 time 0.001560926
Run 22 time 0.001552105
Run 23 time 0.001555204
Run 24 time 0.001560926
Run 25 time 0.001559973
Run 26 time 0.001559973
Run 27 time 0.001559019
Run 28 time 0.001720905
Run 29 time 0.002378941
Run 30 time 0.001554012
Run 31 time 0.001554966
Run 32 time 0.001554012
Run 33 time 0.001559019
Run 34 time 0.001557827
Run 35 time 0.001554012
Run 36 time 0.001767159
Run 37 time 0.001559973
Run 38 time 0.002114058
Run 39 time 0.001594067
Run 40 time 0.001754999
Run 41 time 0.001560926
Run 42 time 0.001704216
Run 43 time 0.001620054
Run 44 time 0.001559973
Run 45 time 0.001548052
Run 46 time 0.001703024
Run 47 time 0.001544952
Run 48 time 0.001546144
Run 49 time 0.001545191
Run 50 time 0.001543045
Run 51 time 0.001544952
Run 52 time 0.001545906
Run 53 time 0.001547098
Run 54 time 0.001548052
Run 55 time 0.001575947
Run 56 time 0.001626968
Run 57 time 0.001559973
Run 58 time 0.001546860
Run 59 time 0.001553059
Run 60 time 0.001574039
Run 61 time 0.001548052
Run 62 time 0.001551867
Run 63 time 0.001585007
Run 64 time 0.001548052
Run 65 time 0.001550913
Run 66 time 0.001543999
Run 67 time 0.001554012
Run 68 time 0.001577854
Run 69 time 0.001597881
Run 70 time 0.001686096
Run 71 time 0.001550913
Run 72 time 0.001544237
Run 73 time 0.001636028
Run 74 time 0.001544952
Run 75 time 0.001576900
Run 76 time 0.001543045
Run 77 time 0.001548052
Run 78 time 0.001546144
Run 79 time 0.001548052
Run 80 time 0.001545191
Run 81 time 0.001570940
Run 82 time 0.001555920
Run 83 time 0.001541853
Run 84 time 0.001566887
Run 85 time 0.001549006
Run 86 time 0.001546144
Run 87 time 0.001546144
Run 88 time 0.001549959
Run 89 time 0.001571894
Run 90 time 0.001647949
Run 91 time 0.001735926
Run 92 time 0.001551867
Run 93 time 0.001545906
Run 94 time 0.001548052
Run 95 time 0.001544952
Run 96 time 0.001549006
Run 97 time 0.001546144
Run 98 time 0.001547098
Run 99 time 0.001551151
Run 100 time 0.001547098
binomial_reduce 8 3145728
Run 1 time 0.012987852
Run 2 time 0.001988888
Run 3 time 0.001917124
Run 4 time 0.001915932
Run 5 time 0.001966953
Run 6 time 0.001926899
Run 7 time 0.001934052
Run 8 time 0.001911163
Run 9 time 0.001910210
Run 10 time 0.001909971
Run 11 time 0.001908064
Run 12 time 0.001910925
Run 13 time 0.001880884
Run 14 time 0.001895905
Run 15 time 0.001879930
Run 16 time 0.001887083
Run 17 time 0.001893997
Run 18 time 0.001868963
Run 19 time 0.001868010
Run 20 time 0.001868963
Run 21 time 0.001868010
Run 22 time 0.001871109
Run 23 time 0.001868963
Run 24 time 0.001861811
Run 25 time 0.001856089
Run 26 time 0.001859188
Run 27 time 0.001863956
Run 28 time 0.001854897
Run 29 time 0.001857996
Run 30 time 0.001856089
Run 31 time 0.001869917
Run 32 time 0.001852036
Run 33 time 0.001860857
Run 34 time 0.001852036
Run 35 time 0.001871824
Run 36 time 0.001853943
Run 37 time 0.001858950
Run 38 time 0.001858950
Run 39 time 0.001860857
Run 40 time 0.001890898
Run 41 time 0.001861095
Run 42 time 0.001857042
Run 43 time 0.001859903
Run 44 time 0.001857042
Run 45 time 0.001857042
Run 46 time 0.001852036
Run 47 time 0.001852036
Run 48 time 0.001856089
Run 49 time 0.001857042
Run 50 time 0.001855850
Run 51 time 0.001861095
Run 52 time 0.001860142
Run 53 time 0.001867056
Run 54 time 0.001869917
Run 55 time 0.001857996
Run 56 time 0.001863003
Run 57 time 0.001860142
Run 58 time 0.001855135
Run 59 time 0.001856089
Run 60 time 0.001856089
Run 61 time 0.001856804
Run 62 time 0.001853943
Run 63 time 0.001858950
Run 64 time 0.001860857
Run 65 time 0.001862049
Run 66 time 0.001864195
Run 67 time 0.002159119
Run 68 time 0.001857996
Run 69 time 0.001857042
Run 70 time 0.001857042
Run 71 time 0.001859188
Run 72 time 0.001855135
Run 73 time 0.001856089
Run 74 time 0.001857996
Run 75 time 0.001865149
Run 76 time 0.001855135
Run 77 time 0.001862049
Run 78 time 0.001858950
Run 79 time 0.001852036
Run 80 time 0.001857996
Run 81 time 0.001854897
Run 82 time 0.001863003
Run 83 time 0.001860857
Run 84 time 0.001899004
Run 85 time 0.001863003
Run 86 time 0.001863003
Run 87 time 0.001857042
Run 88 time 0.001862049
Run 89 time 0.001853943
Run 90 time 0.001862049
Run 91 time 0.001854181
Run 92 time 0.001856089
Run 93 time 0.001883984
Run 94 time 0.001918077
Run 95 time 0.001864910
Run 96 time 0.001853943
Run 97 time 0.001857042
Run 98 time 0.001862049
Run 99 time 0.001857996
Run 100 time 0.001861095
reduceScatter_reduce 8 3145728
Run 1 time 0.009289026
Run 2 time 0.003175974
Run 3 time 0.003184080
Run 4 time 0.003167868
Run 5 time 0.003146887
Run 6 time 0.003168821
Run 7 time 0.003116846
Run 8 time 0.003096819
Run 9 time 0.003113985
Run 10 time 0.003131866
Run 11 time 0.003142118
Run 12 time 0.003138065
Run 13 time 0.003175020
Run 14 time 0.003160954
Run 15 time 0.003194809
Run 16 time 0.003135920
Run 17 time 0.003154039
Run 18 time 0.003174067
Run 19 time 0.003105879
Run 20 time 0.003150225
Run 21 time 0.003123045
Run 22 time 0.003156900
Run 23 time 0.003099918
Run 24 time 0.003157139
Run 25 time 0.003147125
Run 26 time 0.003144979
Run 27 time 0.003142118
Run 28 time 0.003146172
Run 29 time 0.003108025
Run 30 time 0.003208160
Run 31 time 0.003123045
Run 32 time 0.003154993
Run 33 time 0.003101110
Run 34 time 0.003143787
Run 35 time 0.003116846
Run 36 time 0.003161907
Run 37 time 0.003104925
Run 38 time 0.003147125
Run 39 time 0.003101110
Run 40 time 0.003143072
Run 41 time 0.003144026
Run 42 time 0.003118038
Run 43 time 0.003170967
Run 44 time 0.003145933
Run 45 time 0.003146172
Run 46 time 0.003113985
Run 47 time 0.003154039
Run 48 time 0.003157854
Run 49 time 0.003151894
Run 50 time 0.003146887
Run 51 time 0.003120899
Run 52 time 0.003153086
Run 53 time 0.003114939
Run 54 time 0.003145933
Run 55 time 0.003153801
Run 56 time 0.003149033
Run 57 time 0.003108978
Run 58 time 0.003145933
Run 59 time 0.003139019
Run 60 time 0.003144026
Run 61 time 0.003102064
Run 62 time 0.003154993
Run 63 time 0.003103018
Run 64 time 0.003216982
Run 65 time 0.003158808
Run 66 time 0.003125906
Run 67 time 0.003132105
