MPI_reduce 8 524288
Run 43 time 0.000245094
Run 44 time 0.000296116
Run 45 time 0.000310898
Run 46 time 0.000288010
Run 47 time 0.000365019
Run 48 time 0.000246048
Run 49 time 0.000226974
Run 50 time 0.000292063
Run 51 time 0.000314951
Run 52 time 0.000375032
Run 53 time 0.000229120
Run 54 time 0.000233889
Run 55 time 0.000277042
Run 56 time 0.000277996
Run 57 time 0.000295877
Run 58 time 0.000288010
Run 59 time 0.000267982
Run 60 time 0.000229120
Run 61 time 0.000228882
Run 62 time 0.000687122
Run 63 time 0.000298023
Run 64 time 0.000329018
Run 65 time 0.000627041
Run 66 time 0.000609159
Run 67 time 0.000522852
Run 68 time 0.000345945
Run 69 time 0.000375986
Run 70 time 0.000366926
Run 71 time 0.000314951
Run 72 time 0.000328064
Run 73 time 0.000251055
Run 74 time 0.000305891
Run 75 time 0.000411987
Run 76 time 0.000363827
Run 77 time 0.000681162
Run 78 time 0.000458956
Run 79 time 0.000406027
Run 80 time 0.000498056
Run 81 time 0.000390053
Run 82 time 0.000329971
Run 83 time 0.000292063
Run 84 time 0.000256062
Run 85 time 0.000232935
Run 86 time 0.000380993
Run 87 time 0.000516891
Run 88 time 0.000380039
Run 89 time 0.000244141
Run 90 time 0.000347853
Run 91 time 0.000344992
Run 92 time 0.000224113
Run 93 time 0.000256062
Run 94 time 0.000270128
Run 95 time 0.000256062
Run 96 time 0.000262976
Run 97 time 0.000256062
Run 98 time 0.000278950
Run 99 time 0.000224113
Run 100 time 0.000226021
linear_reduce 8 524288 14
Run 1 time 0.113271952
Run 2 time 0.000305891
Run 3 time 0.000283003
Run 4 time 0.000244141
Run 5 time 0.000262976
Run 6 time 0.000262022
Run 7 time 0.000277996
Run 8 time 0.000356913
Run 9 time 0.000200033
Run 10 time 0.000247955
Run 11 time 0.002398014
Run 12 time 0.000303030
Run 13 time 0.000281811
Run 14 time 0.000439882
Run 15 time 0.000289917
Run 16 time 0.001086950
Run 17 time 0.000988960
Run 18 time 0.000294209
Run 19 time 0.000235081
Run 20 time 0.000993967
Run 21 time 0.000250816
Run 22 time 0.000284910
Run 23 time 0.000263929
Run 24 time 0.000273943
Run 25 time 0.000260830
Run 26 time 0.000530005
Run 27 time 0.000289917
Run 28 time 0.000359058
Run 29 time 0.000656128
Run 30 time 0.000293970
Run 31 time 0.000356913
Run 32 time 0.000387907
Run 33 time 0.000349998
Run 34 time 0.000434160
Run 35 time 0.000361919
Run 36 time 0.000229120
Run 37 time 0.000245094
Run 38 time 0.000247955
Run 39 time 0.000252962
Run 40 time 0.000233173
Run 41 time 0.000241995
Run 42 time 0.000271082
Run 43 time 0.000228167
Run 44 time 0.000327110
Run 45 time 0.000243187
Run 46 time 0.000234127
Run 47 time 0.000292063
Run 48 time 0.000242949
Run 49 time 0.000255108
Run 50 time 0.000235796
Run 51 time 0.000224113
Run 52 time 0.000339031
Run 53 time 0.000337839
Run 54 time 0.000291824
Run 55 time 0.000253916
Run 56 time 0.000406027
Run 57 time 0.000265121
Run 58 time 0.000303984
Run 59 time 0.000288963
Run 60 time 0.000300169
Run 61 time 0.000260830
Run 62 time 0.000263929
Run 63 time 0.000262976
Run 64 time 0.000275135
Run 65 time 0.000353098
Run 66 time 0.000410080
Run 67 time 0.000315905
Run 68 time 0.000282049
Run 69 time 0.000387907
Run 70 time 0.000265121
Run 71 time 0.000252962
Run 72 time 0.000283957
Run 73 time 0.000303030
Run 74 time 0.000270844
Run 75 time 0.000264883
Run 76 time 0.000261068
Run 77 time 0.000417948
Run 78 time 0.000243902
Run 79 time 0.000269890
Run 80 time 0.000461817
Run 81 time 0.000357151
Run 82 time 0.000400066
Run 83 time 0.000359058
Run 84 time 0.000450850
Run 85 time 0.000339985
Run 86 time 0.000565052
Run 87 time 0.000457048
Run 88 time 0.000291109
Run 89 time 0.000240088
Run 90 time 0.000217915
Run 91 time 0.000324965
Run 92 time 0.000231981
