MPI_allreduce 8 1048576
Run 1 time 0.013039827
Run 2 time 0.001147985
Run 3 time 0.000808001
Run 4 time 0.000893116
Run 5 time 0.000723124
Run 6 time 0.000792980
Run 7 time 0.000776052
Run 8 time 0.000597000
Run 9 time 0.000756979
Run 10 time 0.000573874
Run 11 time 0.000666142
Run 12 time 0.000600100
Run 13 time 0.000769138
Run 14 time 0.000617981
Run 15 time 0.000775099
Run 16 time 0.000759840
Run 17 time 0.000564098
Run 18 time 0.000565052
Run 19 time 0.000560045
Run 20 time 0.000565052
Run 21 time 0.000560999
Run 22 time 0.000565052
Run 23 time 0.000565052
Run 24 time 0.000566006
Run 25 time 0.000562906
Run 26 time 0.000558138
Run 27 time 0.000562906
Run 28 time 0.000633001
Run 29 time 0.000560999
Run 30 time 0.000559092
Run 31 time 0.000564098
Run 32 time 0.000563860
Run 33 time 0.000568151
Run 34 time 0.000617981
Run 35 time 0.000561953
Run 36 time 0.000555992
Run 37 time 0.000568151
Run 38 time 0.000563145
Run 39 time 0.000565052
Run 40 time 0.000578880
Run 41 time 0.000751972
Run 42 time 0.000576973
Run 43 time 0.000705004
Run 44 time 0.000653982
Run 45 time 0.000595093
Run 46 time 0.000761032
Run 47 time 0.000578165
Run 48 time 0.000744104
Run 49 time 0.000771046
Run 50 time 0.000581026
Run 51 time 0.000699997
Run 52 time 0.000573874
Run 53 time 0.000712156
Run 54 time 0.000812054
Run 55 time 0.000746012
Run 56 time 0.000599861
Run 57 time 0.000622988
Run 58 time 0.000646114
Run 59 time 0.000647068
Run 60 time 0.000655174
Run 61 time 0.000584841
Run 62 time 0.000813007
Run 63 time 0.000756025
Run 64 time 0.000718117
Run 65 time 0.000694036
Run 66 time 0.000767946
Run 67 time 0.000602007
Run 68 time 0.000703096
Run 69 time 0.000632048
Run 70 time 0.000629902
Run 71 time 0.000885963
Run 72 time 0.000570059
Run 73 time 0.000580072
Run 74 time 0.000770807
Run 75 time 0.000637054
Run 76 time 0.000651121
Run 77 time 0.000740051
Run 78 time 0.000723124
Run 79 time 0.000595093
Run 80 time 0.000590086
Run 81 time 0.000617981
