MPI_allreduce 8 524288
Run 43 time 0.001013041
Run 44 time 0.000545979
Run 45 time 0.000397921
Run 46 time 0.000931978
Run 47 time 0.000270844
Run 48 time 0.000385046
Run 49 time 0.000262976
Run 50 time 0.000547886
Run 51 time 0.000268936
Run 52 time 0.000519037
Run 53 time 0.000375986
Run 54 time 0.000416994
Run 55 time 0.000721931
Run 56 time 0.000405073
Run 57 time 0.002241135
Run 58 time 0.001039028
Run 59 time 0.000504971
Run 60 time 0.000360012
Run 61 time 0.000638008
Run 62 time 0.000274181
Run 63 time 0.000272036
Run 64 time 0.000264168
Run 65 time 0.000274181
Run 66 time 0.000373840
Run 67 time 0.000266075
Run 68 time 0.000761986
Run 69 time 0.001073837
Run 70 time 0.000780106
Run 71 time 0.000397921
Run 72 time 0.000486135
Run 73 time 0.000298023
Run 74 time 0.000302076
Run 75 time 0.000362873
Run 76 time 0.000707150
Run 77 time 0.000625849
Run 78 time 0.000333071
Run 79 time 0.000850201
Run 80 time 0.000298977
Run 81 time 0.000269890
Run 82 time 0.000298977
Run 83 time 0.000261068
Run 84 time 0.000268936
Run 85 time 0.000263929
Run 86 time 0.000272989
Run 87 time 0.000313044
Run 88 time 0.000281096
Run 89 time 0.000271082
Run 90 time 0.000264883
Run 91 time 0.000287056
Run 92 time 0.000270128
Run 93 time 0.000266075
Run 94 time 0.000269890
Run 95 time 0.000264168
Run 96 time 0.000278950
Run 97 time 0.000260115
Run 98 time 0.000336885
Run 99 time 0.000344992
Run 100 time 0.000322104
recursiveDoubling_allreduce 8 524288
Run 1 time 0.005823851
Run 2 time 0.000469923
Run 3 time 0.000467062
Run 4 time 0.000594139
Run 5 time 0.000671864
Run 6 time 0.000642061
Run 7 time 0.000792980
Run 8 time 0.000572920
Run 9 time 0.000797033
Run 10 time 0.000496149
Run 11 time 0.000478029
Run 12 time 0.000432014
Run 13 time 0.000448942
Run 14 time 0.000475168
Run 15 time 0.000468016
Run 16 time 0.000418186
Run 17 time 0.000462055
Run 18 time 0.000414133
Run 19 time 0.000433207
Run 20 time 0.000420094
Run 21 time 0.000415087
Run 22 time 0.000424147
Run 23 time 0.000416040
Run 24 time 0.000417948
Run 25 time 0.000415087
Run 26 time 0.000414133
Run 27 time 0.000417948
Run 28 time 0.000412941
Run 29 time 0.000411034
Run 30 time 0.000414133
Run 31 time 0.000415087
Run 32 time 0.000473976
Run 33 time 0.000414133
Run 34 time 0.000420094
Run 35 time 0.000416040
Run 36 time 0.000414133
Run 37 time 0.000421047
Run 38 time 0.000414848
Run 39 time 0.000411987
Run 40 time 0.000416994
Run 41 time 0.000427008
Run 42 time 0.000438929
Run 43 time 0.000463963
Run 44 time 0.000456095
Run 45 time 0.000453949
Run 46 time 0.000560045
Run 47 time 0.000421047
Run 48 time 0.000456095
Run 49 time 0.000537157
Run 50 time 0.000465870
Run 51 time 0.000471115
Run 52 time 0.000416040
Run 53 time 0.000440121
Run 54 time 0.000450134
Run 55 time 0.000411987
Run 56 time 0.000420094
Run 57 time 0.000427008
Run 58 time 0.000416040
Run 59 time 0.000415087
Run 60 time 0.000414848
Run 61 time 0.000417948
Run 62 time 0.000415087
Run 63 time 0.000420094
Run 64 time 0.000465870
Run 65 time 0.000424862
Run 66 time 0.000431061
Run 67 time 0.000671148
Run 68 time 0.000410080
Run 69 time 0.000473022
Run 70 time 0.000420094
Run 71 time 0.000439167
Run 72 time 0.000629902
Run 73 time 0.000509024
Run 74 time 0.000461102
Run 75 time 0.000560999
Run 76 time 0.000483036
Run 77 time 0.000508070
Run 78 time 0.000483990
