MPI_BCAST 8
bcast 8 1
Run 1 time 0.000782967
Run 2 time 0.000006914
Run 3 time 0.000005007
Run 4 time 0.000005007
Run 5 time 0.000005960
Run 6 time 0.000005007
Run 7 time 0.000005960
Run 8 time 0.000005007
Run 9 time 0.000005007
Run 10 time 0.000004053
Run 11 time 0.000005960
Run 12 time 0.000005960
Run 13 time 0.000004053
Run 14 time 0.000005007
Run 15 time 0.000015020
Run 16 time 0.000005007
Run 17 time 0.000005007
Run 18 time 0.000004768
Run 19 time 0.000005007
Run 20 time 0.000007153
Run 21 time 0.000035048
Run 22 time 0.000005007
Run 23 time 0.000005007
Run 24 time 0.000005007
Run 25 time 0.000005007
Run 26 time 0.000005007
Run 27 time 0.000005007
Run 28 time 0.000006199
Run 29 time 0.000007868
Run 30 time 0.000020027
Run 31 time 0.000005007
Run 32 time 0.000004053
Run 33 time 0.000005007
Run 34 time 0.000005960
Run 35 time 0.000005007
Run 36 time 0.000020981
Run 37 time 0.000020027
Run 38 time 0.000019073
Run 39 time 0.000005007
Run 40 time 0.000005007
Run 41 time 0.000005007
Run 42 time 0.000005007
Run 43 time 0.000005007
Run 44 time 0.000005007
Run 45 time 0.000005007
Run 46 time 0.000019073
Run 47 time 0.000005007
Run 48 time 0.000010967
Run 49 time 0.000005007
Run 50 time 0.000005007
Run 51 time 0.000005007
Run 52 time 0.000005007
Run 53 time 0.000005007
Run 54 time 0.000005007
Run 55 time 0.000005007
Run 56 time 0.000005007
Run 57 time 0.000005007
Run 58 time 0.000004053
Run 59 time 0.000005007
Run 60 time 0.000005007
Run 61 time 0.000005007
Run 62 time 0.000005007
Run 63 time 0.000005007
Run 64 time 0.000005007
Run 65 time 0.000005007
Run 66 time 0.000004053
Run 67 time 0.000005007
Run 68 time 0.000005960
Run 69 time 0.000005007
Run 70 time 0.000005007
Run 71 time 0.000005007
Run 72 time 0.000005007
Run 73 time 0.000004053
Run 74 time 0.000005007
Run 75 time 0.000005007
Run 76 time 0.000005007
Run 77 time 0.000005007
Run 78 time 0.000004053
Run 79 time 0.000005007
Run 80 time 0.000005007
Run 81 time 0.000004053
Run 82 time 0.000005007
Run 83 time 0.000005007
Run 84 time 0.000005007
Run 85 time 0.000005960
Run 86 time 0.000005007
Run 87 time 0.000005007
Run 88 time 0.000005007
Run 89 time 0.000005007
Run 90 time 0.000005007
Run 91 time 0.000005007
Run 92 time 0.000005007
Run 93 time 0.000005007
Run 94 time 0.000005007
Run 95 time 0.000005007
Run 96 time 0.000005007
Run 97 time 0.000004053
Run 98 time 0.000005007
Run 99 time 0.000005007
Run 100 time 0.000005007
bcast 8 1024
Run 1 time 0.000030041
Run 2 time 0.000005960
Run 3 time 0.000005960
Run 4 time 0.000021935
Run 5 time 0.000005960
Run 6 time 0.000005960
Run 7 time 0.000005960
Run 8 time 0.000007153
Run 9 time 0.000006199
Run 10 time 0.000007153
Run 11 time 0.000006914
Run 12 time 0.000006914
Run 13 time 0.000005960
Run 14 time 0.000005960
Run 15 time 0.000005960
Run 16 time 0.000006199
Run 17 time 0.000005960
Run 18 time 0.000006914
Run 19 time 0.000006199
Run 20 time 0.000006199
Run 21 time 0.000006199
Run 22 time 0.000005960
Run 23 time 0.000005960
Run 24 time 0.000006199
Run 25 time 0.000006914
Run 26 time 0.000005960
Run 27 time 0.000005960
Run 28 time 0.000007153
Run 29 time 0.000009060
Run 30 time 0.000023842
Run 31 time 0.000006199
Run 32 time 0.000006199
Run 33 time 0.000006199
Run 34 time 0.000005960
Run 35 time 0.000006914
Run 36 time 0.000005960
Run 37 time 0.000006199
Run 38 time 0.000006199
Run 39 time 0.000006199
Run 40 time 0.000005960
Run 41 time 0.000006914
Run 42 time 0.000006914
Run 43 time 0.000005960
Run 44 time 0.000006199
Run 45 time 0.000006199
Run 46 time 0.000021935
Run 47 time 0.000006914
Run 48 time 0.000006199
Run 49 time 0.000006914
Run 50 time 0.000006914
Run 51 time 0.000005960
Run 52 time 0.000005960
Run 53 time 0.000007153
Run 54 time 0.000005960
Run 55 time 0.000005960
Run 56 time 0.000006914
Run 57 time 0.000005960
Run 58 time 0.000005960
Run 59 time 0.000005960
Run 60 time 0.000007153
Run 61 time 0.000006199
Run 62 time 0.000005960
Run 63 time 0.000005960
Run 64 time 0.000005960
Run 65 time 0.000006914
Run 66 time 0.000005960
Run 67 time 0.000006199
Run 68 time 0.000005960
Run 69 time 0.000007153
Run 70 time 0.000006914
Run 71 time 0.000006199
Run 72 time 0.000005960
Run 73 time 0.000005960
Run 74 time 0.000005960
Run 75 time 0.000005007
Run 76 time 0.000005960
Run 77 time 0.000005960
Run 78 time 0.000006199
Run 79 time 0.000006199
Run 80 time 0.000006199
Run 81 time 0.000006914
Run 82 time 0.000006914
Run 83 time 0.000005007
Run 84 time 0.000005960
Run 85 time 0.000005960
Run 86 time 0.000006199
Run 87 time 0.000006199
Run 88 time 0.000005960
Run 89 time 0.000005960
Run 90 time 0.000005960
Run 91 time 0.000005960
Run 92 time 0.000005960
Run 93 time 0.000005960
Run 94 time 0.000005960
Run 95 time 0.000005960
Run 96 time 0.000005960
Run 97 time 0.000005960
Run 98 time 0.000005960
Run 99 time 0.000005960
Run 100 time 0.000005960
bcast 8 1048576
Run 1 time 0.009629965
Run 2 time 0.000485897
Run 3 time 0.000483990
Run 4 time 0.000483036
Run 5 time 0.000481129
Run 6 time 0.000478983
Run 7 time 0.000482082
Run 8 time 0.000482082
Run 9 time 0.000481129
Run 10 time 0.000480175
Run 11 time 0.000483036
Run 12 time 0.000483036
Run 13 time 0.000483036
Run 14 time 0.000481129
Run 15 time 0.000479937
Run 16 time 0.000482082
Run 17 time 0.000483990
Run 18 time 0.000479221
Run 19 time 0.000482798
Run 20 time 0.000483036
Run 21 time 0.000481844
Run 22 time 0.000481129
Run 23 time 0.000483990
Run 24 time 0.000480890
Run 25 time 0.000481129
Run 26 time 0.000481129
Run 27 time 0.000483990
Run 28 time 0.000485897
Run 29 time 0.000483036
Run 30 time 0.000484943
Run 31 time 0.000483036
Run 32 time 0.000481129
Run 33 time 0.000482082
Run 34 time 0.000479937
Run 35 time 0.000483036
Run 36 time 0.000480890
Run 37 time 0.000483036
Run 38 time 0.000541925
Run 39 time 0.000570059
Run 40 time 0.000771999
Run 41 time 0.000508785
Run 42 time 0.000483990
Run 43 time 0.000482082
Run 44 time 0.000483990
Run 45 time 0.000483990
Run 46 time 0.000477076
Run 47 time 0.000480890
Run 48 time 0.000482082
Run 49 time 0.000480175
Run 50 time 0.000481129
Run 51 time 0.000486135
Run 52 time 0.000527859
Run 53 time 0.000514030
Run 54 time 0.000509977
Run 55 time 0.000528812
Run 56 time 0.000494957
Run 57 time 0.000481129
Run 58 time 0.000593185
Run 59 time 0.001116991
Run 60 time 0.000676870
Run 61 time 0.000480890
Run 62 time 0.000498056
Run 63 time 0.000585079
Run 64 time 0.000557899
Run 65 time 0.000481844
Run 66 time 0.000480175
Run 67 time 0.000512123
Run 68 time 0.000483990
Run 69 time 0.000504017
Run 70 time 0.000497103
Run 71 time 0.000482082
Run 72 time 0.000478029
Run 73 time 0.000479221
Run 74 time 0.000477076
Run 75 time 0.000481844
Run 76 time 0.000479937
Run 77 time 0.000482082
Run 78 time 0.000481844
Run 79 time 0.000478029
Run 80 time 0.000708103
Run 81 time 0.000996113
Run 82 time 0.000614166
Run 83 time 0.000482082
Run 84 time 0.000484943
